endpoint_class,architecture,metric,reference_variant,candidate_variant,mean_raw_delta_candidate_minus_B0,mean_improvement_delta,paired_rank_biserial_improvement,exact_two_sided_p_raw,Holm_adjusted_p,Holm_reject_alpha_0_05,all_checks_passed
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,FP32-FT,0.0,0.0,0.0,1.0,1.0,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P25-noFT,-32896.0,32896.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P25-FP32-FT,-32896.0,32896.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P50-noFT,-60800.0,60800.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P50-FP32-FT,-60800.0,60800.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,DQ,-72346.0,72346.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,QAT,-66104.0,66104.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P25-QAT,-75384.0,75384.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,P50-QAT,-83448.0,83448.0,1.0,0.0625,0.625,False,True
confirmatory,compact_dnn,serialized_state_dict_bytes,B0,PTQ,-66104.0,66104.0,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,FP32-FT,2.507165010885437e-05,2.507165010885437e-05,0.3333333333333333,0.5625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P25-noFT,0.00016868253989683614,0.00016868253989683614,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P25-FP32-FT,-0.00017210768319559923,-0.00017210768319559923,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P50-noFT,-0.05182316145571,-0.05182316145571,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P50-FP32-FT,-0.0005769367044059281,-0.0005769367044059281,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,DQ,-0.11634650112519543,-0.11634650112519543,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,QAT,-0.0008472926285965077,-0.0008472926285965077,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P25-QAT,-0.0009834566685233749,-0.0009834566685233749,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,P50-QAT,-0.0018347859870055717,-0.0018347859870055717,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,test_raw_weighted_macro_f1,B0,PTQ,-0.0057042076953913055,-0.0057042076953913055,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,FP32-FT,0.009747000000000028,-0.009747000000000028,-0.4666666666666667,0.375,0.9375,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P25-noFT,0.01344300000000001,-0.01344300000000001,-0.6,0.25,0.9375,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P25-FP32-FT,0.009142000000000032,-0.009142000000000032,-0.7333333333333333,0.1875,0.9375,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P50-noFT,0.0063789999999999975,-0.0063789999999999975,-0.7333333333333333,0.1875,0.9375,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P50-FP32-FT,-0.004052999999999975,0.004052999999999975,0.2,0.5,0.9375,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,DQ,0.17578499999999994,-0.17578499999999994,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,QAT,0.16129899999999994,-0.16129899999999994,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P25-QAT,0.13653799999999994,-0.13653799999999994,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,P50-QAT,0.138349,-0.138349,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_1_p95_ms,B0,PTQ,0.13663699999999995,-0.13663699999999995,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,FP32-FT,-0.0012529999999999542,0.0012529999999999542,0.2,0.75,1.0,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P25-noFT,-0.0018149999999999707,0.0018149999999999707,0.3333333333333333,0.6875,1.0,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P25-FP32-FT,-0.0027769999999999627,0.0027769999999999627,0.3333333333333333,0.4375,1.0,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P50-noFT,-0.013064000000000011,0.013064000000000011,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P50-FP32-FT,-0.016422999999999976,0.016422999999999976,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,DQ,0.27044899999999994,-0.27044899999999994,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,QAT,0.28468199999999977,-0.28468199999999977,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P25-QAT,0.27398599999999995,-0.27398599999999995,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,P50-QAT,0.27398499999999987,-0.27398499999999987,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,batch_32_p95_ms,B0,PTQ,0.26848199999999967,-0.26848199999999967,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,FP32-FT,-34406.4,34406.4,0.6,0.375,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P25-noFT,-796262.4,796262.4,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P25-FP32-FT,-820838.4,820838.4,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P50-noFT,-826572.8,826572.8,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P50-FP32-FT,-807731.2,807731.2,1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,DQ,5005312.0,-5005312.0,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,QAT,4364697.6,-4364697.6,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P25-QAT,3986227.2,-3986227.2,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,P50-QAT,3628236.8,-3628236.8,-1.0,0.0625,0.625,False,True
exploratory,compact_dnn,peak_inference_RSS_delta_bytes,B0,PTQ,4178739.2,-4178739.2,-1.0,0.0625,0.625,False,True
