relative_path,line_number,keywords,code
scripts\09_validate_primary_dataset.py,488,batch_size,"batch_size: int,"
scripts\09_validate_primary_dataset.py,569,batch_size,"batch_size=batch_size,"
scripts\09_validate_primary_dataset.py,857,batch_size,"batch_size: int,"
scripts\09_validate_primary_dataset.py,931,batch_size,"batch_size=batch_size,"
scripts\09_validate_primary_dataset.py,1175,batch_size,if args.batch_size <= 0:
scripts\09_validate_primary_dataset.py,1215,batch_size,"print(f""Batch boyutu   : {args.batch_size:,}"")"
scripts\09_validate_primary_dataset.py,1233,batch_size,"batch_size=args.batch_size,"
scripts\09_validate_primary_dataset.py,1273,batch_size,"batch_size=args.batch_size,"
scripts\10_audit_float32_conversion.py,406,batch_size,if args.batch_size <= 0:
scripts\10_audit_float32_conversion.py,464,batch_size,"print(f""Batch boyutu   : {args.batch_size:,}"")"
scripts\10_audit_float32_conversion.py,533,batch_size,"batch_size=args.batch_size,"
scripts\11_build_float32_canonical_index.py,389,batch_size,"batch_size: int,"
scripts\11_build_float32_canonical_index.py,445,batch_size,"batch_size=batch_size,"
scripts\11_build_float32_canonical_index.py,857,batch_size,if args.batch_size <= 0:
scripts\11_build_float32_canonical_index.py,920,batch_size,"batch_size=args.batch_size,"
scripts\11_build_float32_canonical_index.py,975,batch_size,"print(f""Batch boyutu        : {args.batch_size:,}"")"
scripts\11_build_float32_canonical_index.py,1092,batch_size,"batch_size=args.batch_size,"
scripts\12_materialize_float32_canonical_dataset.py,667,batch_size,"batch_size: int,"
scripts\12_materialize_float32_canonical_dataset.py,777,batch_size,batch_size
scripts\12_materialize_float32_canonical_dataset.py,1100,batch_size,if args.batch_size <= 0:
scripts\12_materialize_float32_canonical_dataset.py,1182,batch_size,"print(f""Parça boyutu     : {args.batch_size:,}"")"
scripts\12_materialize_float32_canonical_dataset.py,1238,batch_size,"batch_size=args.batch_size,"
scripts\12_materialize_float32_canonical_dataset.py,1401,batch_size,"batch_size=args.batch_size,"
scripts\13_validate_float32_canonical_dataset.py,704,batch_size,"batch_size: int,"
scripts\13_validate_float32_canonical_dataset.py,810,batch_size,"batch_size=batch_size,"
scripts\13_validate_float32_canonical_dataset.py,1204,batch_size,batch_size
scripts\13_validate_float32_canonical_dataset.py,1460,batch_size,"batch_size: int,"
scripts\13_validate_float32_canonical_dataset.py,1535,batch_size,"batch_size=batch_size,"
scripts\13_validate_float32_canonical_dataset.py,1802,batch_size,if args.batch_size <= 0:
scripts\13_validate_float32_canonical_dataset.py,1833,batch_size,"print(f""Batch boyutu      : {args.batch_size:,}"")"
scripts\13_validate_float32_canonical_dataset.py,1871,batch_size,"batch_size=args.batch_size,"
scripts\13_validate_float32_canonical_dataset.py,1907,batch_size,"batch_size=args.batch_size,"
scripts\14_fit_training_standardizer.py,348,batch_size,"batch_size: int,"
scripts\14_fit_training_standardizer.py,398,batch_size,"batch_size=batch_size,"
scripts\14_fit_training_standardizer.py,520,batch_size,"batch_size: int,"
scripts\14_fit_training_standardizer.py,596,batch_size,"batch_size=batch_size,"
scripts\14_fit_training_standardizer.py,855,batch_size,if args.batch_size <= 0:
scripts\14_fit_training_standardizer.py,938,batch_size,"print(f""Batch boyutu     : {args.batch_size:,}"")"
scripts\14_fit_training_standardizer.py,950,batch_size,"batch_size=args.batch_size,"
scripts\14_fit_training_standardizer.py,992,batch_size,"batch_size=args.batch_size,"
scripts\14_fit_training_standardizer.py,1224,TinyML,"""in simulated TinyML resource reporting."""
scripts\15_build_label_mapping_and_class_weights.py,14,class_weight,models/preprocessing/nbaiot_class_weights_seed2026.npz
scripts\15_build_label_mapping_and_class_weights.py,16,class_weight,results/reports/nbaiot_label_and_class_weight_summary.json
scripts\15_build_label_mapping_and_class_weights.py,401,batch_size,"batch_size: int,"
scripts\15_build_label_mapping_and_class_weights.py,453,batch_size,"batch_size=batch_size,"
scripts\15_build_label_mapping_and_class_weights.py,689,batch_size,if args.batch_size <= 0:
scripts\15_build_label_mapping_and_class_weights.py,716,class_weight,"/ f""nbaiot_class_weights_seed{args.seed}.npz"""
scripts\15_build_label_mapping_and_class_weights.py,726,class_weight,"/ ""nbaiot_label_and_class_weight_summary.json"""
scripts\15_build_label_mapping_and_class_weights.py,778,batch_size,"print(f""Batch boyutu       : {args.batch_size:,}"")"
scripts\15_build_label_mapping_and_class_weights.py,802,batch_size,"batch_size=args.batch_size,"
scripts\15_build_label_mapping_and_class_weights.py,1067,class_weight,"""class_weight_file"": str("
scripts\15_build_label_mapping_and_class_weights.py,1078,class_weight,"""class_weight_sha256"": ("
scripts\16_build_task_definitions.py,10,TinyML,"Ana TinyML mimari, pruning ve quantization karşılaştırma görevi."
scripts\16_build_task_definitions.py,911,class_weight,"/ f""nbaiot_task_class_weights_seed{args.seed}.npz"""
scripts\16_build_task_definitions.py,1078,CrossEntropyLoss,"""CrossEntropyLoss using train-only """
