endpoint_class,architecture,metric,metric_domain,direction,unit,variant,seed_count,mean,median,std_population,minimum,maximum
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,B0,5,2111897.6,2121728.0,28448.776772297257,2060288.0,2142208.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,FP32-FT,5,2079129.6,2084864.0,43471.664452146295,2031616.0,2150400.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P25-noFT,5,1385267.2,1376256.0,64524.67684971386,1327104.0,1503232.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P25-FP32-FT,5,1414758.4,1400832.0,89161.18005858827,1314816.0,1581056.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P50-noFT,5,1400832.0,1384448.0,95428.88894250001,1318912.0,1581056.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P50-FP32-FT,5,1328742.4,1314816.0,25853.515920276684,1314816.0,1380352.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,DQ,5,6043238.4,6004736.0,109772.8,5918720.0,6225920.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,QAT,5,5321523.2,5201920.0,275516.8242139852,5029888.0,5689344.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P25-QAT,5,5176524.8,5074944.0,254115.78718245742,4886528.0,5640192.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,P50-QAT,5,5140480.0,5222400.0,183050.41872445963,4886528.0,5373952.0
exploratory,tinyml_mlp,peak_inference_RSS_delta_bytes,deployment,lower_is_better,bytes,PTQ,5,5328076.8,5296128.0,403046.4,4853760.0,5844992.0
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,B0,5,0.9992438134447982,0.9992595415641462,8.376242610717102e-05,0.9991193242420112,0.9993334614195072
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,FP32-FT,5,0.999259629566686,0.9993091637981878,9.891450273405765e-05,0.9991407487326659,0.9993736887110457
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-noFT,5,0.9988139070020772,0.9988651935590536,0.000270457834175565,0.9984160110085498,0.9991157795614173
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-FP32-FT,5,0.9991604849327598,0.9991779345436561,6.135600013398436e-05,0.9990766218611046,0.9992321141463473
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-noFT,5,0.9182295452182796,0.9932159861094995,0.12280349164359775,0.6777391690694655,0.9950565551069036
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-FP32-FT,5,0.998786993887449,0.9987373274834357,0.00012379076056917145,0.9986883276417272,0.9990314273041191
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,DQ,5,0.9054053054146456,0.9063863154973943,0.015913044353348425,0.8846472958800714,0.9258648629482226
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,QAT,5,0.9980903197215032,0.9980783159301746,0.0005097027294194836,0.9971715239986688,0.9986237817541056
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P25-QAT,5,0.9982271247954844,0.9982018735424748,8.861105831029475e-05,0.998118725469589,0.9983578343614036
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,P50-QAT,5,0.9976074501406412,0.9977818851523619,0.0002895179318035198,0.9971487561590487,0.9978619405806191
confirmatory,compact_dnn,test_fingerprint_macro_f1,predictive,higher_is_better,proportion,PTQ,5,0.9953797075666587,0.9971328678284518,0.0034467434718497246,0.9891385416028364,0.9987496062376242
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,B0,5,0.039299999999999995,0.0414,0.004948939280290273,0.0313,0.0454
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,FP32-FT,5,0.04038,0.0416,0.0024555243839147656,0.0371,0.0435
confirmatory,compact_dnn,batch_1_median_ms,deployment,lower_is_better,milliseconds,P25-noFT,5,0.04132000000000001,0.0418,0.001802942040111106,0.038650000000000004,0.04355
